Rex,Label,Density,Grams,Cost,Formula Number
"S64N36","Burnt Sienna",1.1569999,30,0,"4"
"S64R35","Deep Red",0.85100001,30,0,"4"
"S64Y46","Raw Sienna",1.13,260,0,"4"
"S64N45","VanDyke Brown",0.94999999,45,0,"4"
"S64N36","Burnt Sienna",1.1569999,40,0,"5"
"S64N37","Burnt Umber",1.1569999,40,0,"5"
"S64Y46","Raw Sienna",1.13,250,0,"5"
"S64L39","Blue",0.89700001,5,0,"6"
"S64N37","Burnt Umber",1.1569999,30,0,"6"
"S64R35","Deep Red",0.85100001,10,0,"6"
"S64Y46","Raw Sienna",1.13,240,0,"6"
"S64B30","Black",0.91909999,5,0,"7"
"S64L39","Blue",0.89700001,5,0,"7"
"S64R35","Deep Red",0.85100001,30,0,"7"
"S64N45","VanDyke Brown",0.94999999,200,0,"7"
"S64B30","Black",0.91909999,6,0,"8"
"S64L39","Blue",0.89700001,5,0,"8"
"S64R35","Deep Red",0.85100001,5,0,"8"
"S64N45","VanDyke Brown",0.94999999,275,0,"8"
"S64L39","Blue",0.89700001,7,0,"9"
"S64R35","Deep Red",0.85100001,10,0,"9"
"S64N45","VanDyke Brown",0.94999999,240,0,"9"
"S64L39","Blue",0.89700001,10,0,"10"
"S64N36","Burnt Sienna",1.1569999,20,0,"10"
"S64R40","Brite Red",0.88999999,30,0,"10"
"S64N45","VanDyke Brown",0.94999999,200,0,"10"
"S64B30","Black",0.91909999,25,0,"11"
"S64R40","Brite Red",0.88999999,105,0,"11"
"S64Y46","Raw Sienna",1.13,30,0,"11"
"S64N45","VanDyke Brown",0.94999999,200,0,"11"
"S64N36","Burnt Sienna",1.1569999,200,0,"12"
"S64N42","Raw Umber",1.1210001,180,0,"12"
"S64W31","White",1.597,30,0,"12"
"S64Y32","Yellow Oxide",1.171,80,0,"12"
"S64N36","Burnt Sienna",1.1569999,220,0,"13"
"S64R35","Deep Red",0.85100001,5,0,"13"
"S64N45","VanDyke Brown",0.94999999,40,0,"13"
"S64N36","Burnt Sienna",1.1569999,220,0,"14"
"S64N37","Burnt Umber",1.1569999,40,0,"14"
"S64R40","Brite Red",0.88999999,10,0,"14"
"S64B30","Black",0.91909999,5,0,"15"
"S64N36","Burnt Sienna",1.1569999,220,0,"15"
"S64Y46","Raw Sienna",1.13,35,0,"15"
"S64L39","Blue",0.89700001,5,0,"16"
"S64N36","Burnt Sienna",1.1569999,220,0,"16"
"SEALER","TONER",0.97303772,3103.3999,0,"1844"
"LB","LAMP BLACK",1.0665069,19,0,"1844"
"SEALER","TONNER ",0.97303772,3377.7,0,"2726"
"TW","TITANIUM WHITE",1.8813661,95.599998,0,"2726"
"QR","QUIN RED",0.99460757,28.1,0,"2726"
"S64R40","Brite Red",0.88999999,20,0,"16"
"S64N45","VanDyke Brown",0.94999999,145,0,"16"
"S64L39","Blue",0.89700001,10,0,"17"
"S64N37","Burnt Umber",1.1569999,300,0,"17"
"S64R33","Red Oxide",1.181,30,0,"17"
"S64Y46","Raw Sienna",1.13,65,0,"17"
"S64B30","Black",0.91909999,20,0,"18"
